Thr_F,Thr_UF,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
0.25,0.59,37,0.4594257309602778,0.0042297238957949845,0.5281005602598223,0.0007809864199528258
0.25,0.61,37,0.4571361371459315,0.004449162129542354,0.5426843880352956,0.0005201769642972952
0.25,0.63,37,0.45395294121430746,0.004770594611696984,0.5315390237190802,0.0007107969517886651
0.25,0.65,37,0.45626272715064503,0.00453543246751925,0.5372302735826796,0.0006068638952404936
0.25,0.67,37,0.4281584913035566,0.008201439653157807,0.5256106384444976,0.000835584402613519
0.25,0.69,37,0.4664229681140125,0.0036162129511963406,0.5362817319387464,0.0006231861583828991
0.25,0.71,37,0.4878209531966279,0.0021935748436455907,0.5215793364577814,0.000931175520397114
0.25,0.73,37,0.48173684765443775,0.002536840159342348,0.5318947268355552,0.0007038659368992122
0.25,0.75,37,0.5078890376664066,0.001332086902554599,0.5318947268355552,0.0007038659368992122
0.25,0.77,37,0.5085784263679157,0.001308747369207208,0.5289305341982639,0.0007635037582446965
0.25,0.79,37,0.48695745257771106,0.0022396688315216772,0.5205122271083565,0.0009580468983417912
0.25,0.81,37,0.511059011927903,0.0012277220203370353,0.513516732484349,0.0011518430619643087
0.25,0.83,37,0.38403645378106077,0.0189451474932244,0.3821437147995975,0.019591792005233942
0.25,0.85,37,0.3277170051233674,0.04769599432631099,0.3420678303434188,0.03823944619828055
0.25,0.87,37,0.3900850925718983,0.016997063560626736,0.35665165811889216,0.030251123872690414
0.25,0.89,37,0.4656840505571195,0.0036771184166309156,0.4679867335755543,0.003490204379317494
0.25,0.91,36,0.19292381575943543,0.2596065304183571,0.4685589325937625,0.003948154637129036
0.25,0.93,36,0.4315308318251226,0.008592264327096465,0.5676771683347507,0.00030509906359381736
0.25,0.95,28,0.13395631911631706,0.49676663992788384,0.2313167346458258,0.23627280649865592
0.27,0.45,37,0.38532859929831687,0.018514020667308513,0.43040077093470036,0.007836682519792006
0.27,0.47,37,0.3935743793182292,0.015951777653611922,0.4289779584688005,0.008066485723535525
0.27,0.49,37,0.40108510941247577,0.013884042595915604,0.441783270661899,0.006191731265227079
0.27,0.51,37,0.40602029832811015,0.012652422507009316,0.44901590069688985,0.005308849646011441
0.27,0.53,37,0.4287643296712565,0.008101482712903023,0.49656155059904267,0.0017717746688268752
0.27,0.55,37,0.462547740715278,0.003945660309369609,0.4992886078253506,0.0016556596679918804
0.27,0.57,37,0.4983389974823535,0.001695309965423581,0.5578610543382272,0.0003340117228596432
0.27,0.59,37,0.5214253443357267,0.0009350115894406863,0.563433736496335,0.00028234144183475756
0.27,0.61,37,0.5248064489024062,0.0008539272454887367,0.5679393093050177,0.00024592910306155716
0.27,0.63,37,0.5191323375813162,0.0009938110081049662,0.5825231370804912,0.0001551142493063875
0.27,0.65,37,0.5233461595984561,0.0008881493573277754,0.5569125126942941,0.0003436031481708879
0.27,0.67,37,0.4825749267659343,0.0024869292718398793,0.5426843880352956,0.0005201769642972952
